,allInPings,assistMePings,assists,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,missions,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerScore0,playerScore1,playerScore10,playerScore11,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,0,0,9,0,0,0,20452,19,31,Chogath,0,0,0,0,132,0,64979,0,14,0,1,0,True,0,0,False,False,False,False,False,False,0,12674,12400,0,Invalid,0,0,1,3084,3047,3068,3075,2502,3070,3364,24,1,8,NONE,38,2,2,126,43009,11742,13027,{},0,12,0,1,0,0,0,0,1,0,"{'statPerks': {'defense': 5001, 'flex': 5001, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8437, 'var1': 1428, 'var2': 821, 'var3': 0}, {'perk': 8446, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 68, 'var2': 18, 'var3': 10}, {'perk': 8451, 'var1': 319, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8410, 'var1': 69, 'var2': 0, 'var3': 0}, {'perk': 8304, 'var1': 4, 'var2': 3, 'var3': 0}], 'style': 8300}]}",9074,2781,38881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5736,0,yyykgcLBeZpCkwdwbvdeB5npLsSpzVsj4sxdY-JuQU8LuH2y_8URM9_Zo7n7CB_XhxJHAlB3l8UGfQ,0,딜 러,그잡채,SUPPORT,0,125,57,37,16,0,10,4,14,6,0ov1Pn1zvhYzUCtwjUYHquKax9_-H7-_j-_dLTido01IL5A,439,엔터키뿌셔졌다,False,100,,73,1145,4,75149,21261,0,59304,8,1877,0,42,560,378,1,0,23065,6736,7395,0,0,10,0,0,8,0,0,5,False
0,0,1,10,0,0,0,24916,21,29,Twitch,0,1,0,1396,7412,1396,10195,0,9,0,1,0,True,0,0,False,False,False,False,False,False,0,15446,14100,0,Invalid,0,0,1,3085,3031,3006,3036,6672,1053,3364,18,3,10,NONE,874,4,2,301,8443,1567,5266,{},0,20,0,1,0,0,0,4,2,0,"{'statPerks': {'defense': 5013, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 9923, 'var1': 52, 'var2': 86, 'var3': 0}, {'perk': 8143, 'var1': 1198, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8210, 'var1': 1, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 28, 'var2': 0, 'var3': 0}], 'style': 8200}]}",103985,21945,18644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4781,0,yIk1ZcA1x_TnD8NwIgF3a9LHJ1iILaDdy7CCuWRMPz7rEIGY70nMKV6RX0PnmM_YmYOiFjbvk6LcEw,0,파 닭,JoPD,SUPPORT,0,44,27,40,14,0,9,4,14,6,QQSHmHKzwwbXnPzeriNaNroXe8wKVSNXz4j4cKdcLys_kU0,715,조파닭,False,100,,5,1145,17,116118,24828,0,24433,0,1523,0,107,224,249,1,0,3689,1315,523,1,1,10,0,0,21,0,3,10,False
0,0,1,3,0,0,0,22477,20,245,Ekko,0,9,2,5903,6672,5903,15557,0,6,0,0,0,True,5,0,False,False,False,False,False,False,0,14746,14550,0,Invalid,0,0,1,3152,3020,3100,4646,3089,1058,3340,23,1,3,NONE,0,2,1,542,105611,10701,4627,{},0,18,0,1,0,0,0,1,3,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 398, 'var2': 10, 'var3': 0}, {'perk': 8143, 'var1': 478, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 12, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 320, 'var2': 4, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 9105, 'var1': 17, 'var2': 30, 'var3': 0}, {'perk': 9111, 'var1': 509, 'var2': 120, 'var3': 0}], 'style': 8000}]}",8762,924,20540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,SR4ZTAu6olbrvwn6inUdBi8jGHiG3Ck6XKjcEHYaoj9T0Hy2XALCyK_wJizMVA6HgphORSWRrZr90Q,0,degaris,KR1,SUPPORT,0,92,35,91,6,0,3,6,5,4,fOYzmQ2kfmtMXKZ7MbLzeyD3NYWZzxUv155aJ4fU34Bt1A,374,degaris,False,100,,4,1145,10,114552,11625,0,25375,4,4116,0,110,166,184,1,0,178,0,207,1,1,10,0,0,32,0,0,20,False
0,0,0,11,0,0,0,18872,18,897,KSante,0,0,0,1670,1670,1670,62980,0,11,0,2,0,True,0,0,False,False,False,False,False,False,0,12911,12900,0,Invalid,0,0,1,2021,3133,6662,3053,6665,3047,3340,20,2,6,NONE,0,2,2,172,2326,1166,13115,{},0,0,0,1,0,0,0,0,4,0,"{'statPerks': {'defense': 5001, 'flex': 5001, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8437, 'var1': 612, 'var2': 348, 'var3': 0}, {'perk': 8401, 'var1': 289, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 68, 'var2': 15, 'var3': 11}, {'perk': 8453, 'var1': 628, 'var2': 1788, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8313, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8345, 'var1': 4, 'var2': 0, 'var3': 0}], 'style': 8300}]}",54579,13145,21088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,tNhJ0A2NhvS0exmnXfW0zS-J_Prpp6m5faqsQ_nO7d9a_g4vSU924DcrssdZx67SXhhkzeccx7GTmQ,0,AW 황태연,KR1,SUPPORT,0,106,66,132,17,0,7,4,10,6,SbqRFaZQFK_g0B85xUiPZLlVA-wOoqZGlUnKfVMMzzudU-wE,76,AW 황태연,False,100,,32,1145,0,58892,15773,1518,36093,0,2431,0,69,767,321,1,0,1986,1460,1888,0,1,10,0,0,1,0,1,0,False
0,0,0,6,0,0,0,21783,19,236,Lucian,0,1,1,481,8615,481,15716,0,16,0,3,0,True,0,0,False,False,False,False,False,False,0,16530,16600,0,Invalid,0,0,1,3094,6676,6672,3047,3036,6699,3363,23,4,15,NONE,609,3,2,93,6909,2811,13720,{},0,19,0,1,0,0,0,8,5,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 1584, 'var2': 1030, 'var3': 554}, {'perk': 9111, 'var1': 1053, 'var2': 420, 'var3': 0}, {'perk': 9103, 'var1': 8, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 690, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 1461, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}]}",101837,27958,21861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,QT1IUuEIpAZCyCIGK6spg7tFXFDfvjuVq8g-8kh_Wq0O_wLaQDiMpLZLyE3qsdB6T9iX-5a3pLIc2A,0,Peter베드로,KR1,SUPPORT,0,39,58,124,30,0,13,6,10,4,bFCUa_uHUnhByM0hHsLrRjfB1SygKFCrIL2J1z0AsyarsBEw,79,Peter베드로,False,100,,0,1145,9,108784,30804,0,36290,0,4261,0,89,4,418,1,0,37,33,708,0,0,10,0,0,20,0,4,9,False
0,0,0,9,0,0,1,26261,22,58,Renekton,0,0,1,3979,3979,3979,19217,0,6,0,1,0,True,0,0,False,False,False,False,False,False,0,18166,16550,0,Invalid,0,0,0,3047,6698,3142,6692,3814,6694,3340,26,2,13,NONE,0,5,3,276,7734,3251,6990,{},0,8,0,0,1,0,0,4,6,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 2170, 'var2': 1248, 'var3': 921}, {'perk': 9111, 'var1': 1858, 'var2': 440, 'var3': 0}, {'perk': 9105, 'var1': 8, 'var2': 40, 'var3': 0}, {'perk': 8299, 'var1': 1027, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}, {'perk': 8143, 'var1': 1294, 'var2': 0, 'var3': 0}], 'style': 8100}]}",130993,27977,15182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,0,_4y3H6kvd-oWW7t4N0ioMtFxGMnj1Pit41aqq9Wsfr9MetrSBIwQPzFYsrjdCmcM-9IcRQGrZBZ-1w,0,쁑 알,KR1,SUPPORT,0,88,40,123,14,0,13,6,11,4,3kNT_P7RqyR8rO0QRskBaI54bsN7GXC7mrAmob9b23PnpOQ,292,쁑 알,False,200,,29,1145,4,139643,31938,0,24045,0,3883,0,140,73,172,1,1,915,709,1873,1,2,2,0,0,22,0,0,16,True
0,0,0,8,0,0,0,26170,22,4,TwistedFate,0,0,2,10992,25459,10992,9337,0,7,0,2,0,True,0,0,True,False,False,False,False,False,0,19332,17900,0,Invalid,0,0,0,4645,3135,3020,3089,4646,3100,3340,21,2,12,NONE,0,6,2,449,249373,35581,3027,{},0,66,0,0,0,0,0,1,7,0,"{'statPerks': {'defense': 5011, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8124, 'var1': 1446, 'var2': 0, 'var3': 0}, {'perk': 8139, 'var1': 918, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 10, 'var2': 50, 'var3': 0}, {'perk': 8236, 'var1': 48, 'var2': 0, 'var3': 0}], 'style': 8200}]}",2867,514,15343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4491,0,R1pAMuW_txs25_CjZQ181GK8VwYNdrp1nMvGtS8gfePztP6wDXIQmmKxUSRGhVOUEFQqhPqZtfxdIw,0,아무무킹왕짱,KR1,SUPPORT,0,210,195,0,19,0,9,4,14,6,5MKGMzQYMOn3OaO9CL4THyX6-yGek9_TKV2X5PpZJDvUKog,45,아무무킹왕짱,False,200,,23,1145,43,252958,36169,0,19625,18,1813,0,107,131,166,1,0,717,73,1254,2,4,2,0,0,19,0,0,12,True
0,1,0,19,1,0,0,26086,22,64,LeeSin,0,0,9,5270,40552,5270,32434,0,11,5,1,2,True,7,0,True,False,False,False,False,False,0,16783,16150,0,Invalid,0,1,0,6610,6692,3142,6701,6676,3047,3340,28,4,14,NONE,396,5,2,289,22817,5571,9518,{},0,17,0,0,0,0,0,6,8,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 633, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 2756, 'var2': 660, 'var3': 0}, {'perk': 9104, 'var1': 5, 'var2': 10, 'var3': 0}, {'perk': 8014, 'var1': 1158, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8304, 'var1': 3, 'var2': 3, 'var3': 0}], 'style': 8300}]}",78731,28971,20921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6295,0,cAT4dQOowGDJ2aNxPgEP9pvysTVH7vM1iLW29jxaJqr3zdGAFHvKy1Rqndl_RnYGeOsdAVYfWUWjLg,0,환 상,6969,SUPPORT,0,228,132,117,20,0,11,4,7,6,BbSkUhpN1m6XCvutITLXwUcZb3O2VoRbQIHNc6qQaxhlmG8,313,뿅 알,False,200,,29,1145,4,101816,34810,977,33294,1,10011,0,35,106,210,1,0,267,267,2854,4,5,2,0,0,39,8,2,25,True
0,0,0,9,0,0,1,23140,20,67,Vayne,0,0,0,7609,7609,7609,11150,0,13,0,1,0,True,1,0,False,True,True,False,False,False,1,16441,14300,0,Invalid,0,0,0,3095,3006,3508,6699,3031,3134,3364,17,2,12,NONE,947,3,2,146,5587,2809,5404,{},0,11,1,0,1,0,0,1,9,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 76, 'var2': 10, 'var3': 0}, {'perk': 9111, 'var1': 1055, 'var2': 420, 'var3': 0}, {'perk': 9104, 'var1': 5, 'var2': 50, 'var3': 0}, {'perk': 8014, 'var1': 821, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8429, 'var1': 68, 'var2': 12, 'var3': 10}, {'perk': 8451, 'var1': 153, 'var2': 0, 'var3': 0}], 'style': 8400}]}",105851,40548,17532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5456,0,z_h8MV-lw6Tk2FTszpTeieFLk24Ee2Aemxlcs8zdEF0jXjkBL--Nm2vvyNc5whiSzILKVP369PZy2A,0,김서연,mine,SUPPORT,0,205,0,16,18,0,9,4,15,6,wfSOvcYzGMKJTwKPctw-yKqA5ef2qYIpRKU0ocToT46YVuJ0JhGcF7-Jjw,299,영혼의 꽃 김서연,False,200,,12,1145,0,122364,52344,0,25848,7,973,0,68,62,367,1,0,10925,8986,2910,1,2,2,0,0,25,0,0,13,True
0,0,0,15,0,0,2,25586,21,202,Jhin,0,6,0,6556,17852,6556,6541,0,5,0,0,0,True,2,0,True,False,False,True,False,False,0,14578,10300,0,Invalid,1,1,0,6676,3095,3094,3006,0,0,3364,18,2,5,NONE,1508,2,1,233,24616,2543,4442,{},0,1,0,0,1,0,0,0,10,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 2628, 'var2': 2945, 'var3': 0}, {'perk': 9111, 'var1': 1058, 'var2': 400, 'var3': 0}, {'perk': 9104, 'var1': 8, 'var2': 40, 'var3': 0}, {'perk': 8017, 'var1': 1374, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8275, 'var1': 20, 'var2': 0, 'var3': 0}, {'perk': 8234, 'var1': 11153, 'var2': 0, 'var3': 0}], 'style': 8200}]}",86822,14405,9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3839,0,DJYbMOaz_Lpg9S011T7-qqJbmCKHmglOHVLxnRqRsCmUm1isYTtXyAx9j0pJ0GXGlbHKjWssqMaUWw,0,김동현,mine,SUPPORT,0,32,63,58,32,0,14,6,6,4,mreqICdFHhFz3HMG-4vlOnGQq5wNcoF4gIYGCRgE19t1CKI,530,영혼의 꽃 김동현,False,200,,36,1145,1,112184,17635,0,14503,0,2890,0,102,189,119,1,0,746,686,653,2,3,2,0,0,9,0,0,7,True
