name,death_per_min,n_matches
섬도기동인게이지,0.37678057421211897,100
,0.3334322379645427,100
유설영,0.3178968210317897,100
자유의검,0.3177587056291648,101
구사자,0.3157041758954136,55
Stained glass,0.31500302887527765,100
PUTS Ddoba,0.3130276866218498,100
confessions,0.3087471254577974,100
탑미는기계,0.30825908800421037,101
미숙이네떡뽀끼,0.30798073797446346,100
주주97,0.30715939754655236,61
Rrand soft,0.30596296818401914,100
준영이자징빨아줘,0.30351785015436794,61
가렌다리말파,0.29959900369199244,110
ulnn,0.2989595235036812,100
zl전태경,0.29770337410459524,100
케러빗,0.2968001236667182,100
종카쿠,0.29661199362865387,101
밍밍먕먕묭묭냥,0.29642202251958716,95
정정당당,0.29186326139234725,101
군입대 기대된당,0.29040381489882305,67
13900k,0.28942027706697254,102
짭륙남,0.2885401243707432,102
,0.28822563508161886,104
Gamsaeg,0.2879981568117964,100
신성수녀암캐타락,0.28745465744986654,104
집가는길,0.287430059444727,100
임만돌,0.28643649969341656,101
어쩌라고맨,0.28609889616799783,100
거뉴야,0.2860489410870873,100
뜨뜻한MilkTea,0.2852750866907375,101
공주말들어야지,0.28507136427928503,100
04김창수,0.284886256524247,100
이친다,0.2847361731786314,57
나쁜 뚱땡이,0.2845802934734276,70
2022년구월십육일,0.2842466569732796,102
Rally Go Round,0.2840929471773644,100
아산나부랭이,0.28371323687657185,102
챱챱보징떡,0.28306467566255233,100
셀럽트위티,0.2829129030748351,100
,0.2827411020985481,89
세나서폿,0.28255666619738135,102
권 민 진,0.2825380740917354,72
HJKOSLE,0.2824219824556041,100
릴리진박머로우,0.2823193737916017,100
세트장인비니비니,0.2822254616705717,103
에널자위저,0.281870322594401,102
크스수체,0.2817533715229767,68
인 삐 S2 태 삐,0.2817502668089648,77
빵빵군 옥지양,0.2814470545450063,100
