name,duration,n_matches
12인의 단지동맹,1946.576923076923,52
엄마온다알탭,1897.0192307692307,52
웨이보월즈우승,1871.3285714285714,70
작은노옴,1866.8307692307692,65
I태극I,1865.4512195121952,82
종교철학과,1851.31,100
태울준비는되었나,1847.2363636363636,55
재애애현,1846.844827586207,58
여기저기펀치,1845.2881355932204,59
친구야인성흘렸어,1843.0,67
개념강의,1842.96,100
프리HK,1842.3157894736842,76
무휴식딜러,1840.6153846153845,52
짤까락,1839.6610169491526,59
직스룰루 르블랑,1838.611111111111,72
호맹이,1835.7910447761194,67
울릉읍사무소,1832.121212121212,99
냥젤리꼬순내,1829.1451612903227,62
브금만들던잉간,1824.74,100
wjswnsdn,1824.25,100
차차수,1823.877192982456,57
45녀 송미라,1822.54,100
카스타드제티,1818.82,100
빡고수,1816.825,80
안내문 진거,1814.9736842105262,76
탑은승패와무상관,1814.6714285714286,70
배려존중포용,1814.41,100
서릿가시,1813.8253968253969,63
귀요미 공듀,1812.46,100
GanGstorm,1812.0786516853932,89
나만키워라무조건,1811.1884057971015,69
민형이서폿갈래,1811.078125,64
전투 기계 똥하이,1808.9016393442623,61
보성녹촤하,1807.9716981132076,106
뽀삐 정글러,1801.54,100
다른플레이어보게,1801.3375,80
때려잡어,1798.37,100
화이또민나,1797.79,100
불맛차돌박이짬뽕,1797.62,100
창천항로,1797.2772277227723,101
30918,1796.3333333333333,51
박태양진우,1796.26,100
맥스쿠셔닝엘리트,1795.21,100
몽글예뽕여름,1793.3373493975903,83
코로나19 알림 봇,1790.6909090909091,55
석 호 옹,1789.3461538461538,52
Lunarveil,1787.53,100
20240428전역,1787.280701754386,57
지용이는곧휴가철,1786.11,100
Montaski,1785.8529411764705,102
